"Año","Origen","U_Destino","Cantidad"
"1958","U. Pontificia bolivariana","New york U.","1"
"1958","U. De los andes","U. Of illinois at urbana-champaign","2"
"1958","U. De los andes","U. Of notre dame","3"
"1958","U. Nal. De Col.","Rensselaer polytechnic institute","4"
"1958","U. Nal. De Col.","Rice U.","5"
"1959","U. Pontificia bolivariana","Southern methodist U.","6"
"1959","U. De los andes","U. Of illinois at urbana-champaign","7"
"1959","U. De los andes","U. Of illinois at urbana-champaign","8"
"1960","U. Javeriana","Harvard U.","9"
"1960","U. Nal. De Col.","Central washington U.","10"
"1960","U. Industrial de std","U. Of tulsa","11"
"1960","U. Nal. De Col.","Cornell U.","12"
"1960","U. Del atlantico","Bowdoin college","13"
"1961","U. De los andes","Michigan state U.","14"
"1961","U. Nal. De Col.","Michigan state U.","15"
"1961","U. De los andes","Michigan state U.","16"
"1961","U. Nal. De Col.","Baylor U.","17"
"1961","U. Javeriana","Georgetown U.","18"
"1961","U. Pedagogica nal.","Saint louis U.-main campus","19"
"1961","U. Del atlantico","Otterbein U.","20"
"1961","U. Del atlantico","Pennsylvania state U.","21"
"1961","Instituto caro y cuervo","U. Of rochester","22"
"1961","Instituto caro y cuervo","U. Of rochester","23"
"1962","U. Javeriana","Harvard U.","24"
"1962","U. Nal. De Col.","U. Of colorado","25"
"1962","U. Industrial de std","Ohio state U.","26"
"1962","U. Javeriana","Stanford U.","27"
"1962","U. Pedagogica nal.","U. Of california - los angeles","28"
"1962","U. Del atlantico","U. Of california, berkeley","29"
"1962","U. Javeriana","Michigan state U.","30"
"1963","U. De cartagena","Southern methodist U.","31"
"1963","U. Nal. De Col.","Western michigan U.","32"
"1963","U. Nal. De Col.","Johns hopkins U.","33"
"1963","U. De los andes","U. Of illinois at urbana-champaign","34"
"1963","U. Del cauca","Stanford U.","35"
"1963","U. De los andes","Massachusetts institute of technology","36"
"1963","U. Industrial de std","Massachusetts institute of technology","37"
"1963","U. Pedagogica nal.","Saint louis U.-main campus","38"
"1963","Colegio mayor de nuestra señora del rosario","Harvard U.","39"
"1963","U. Nal. De Col.","U. Of wisconsin - madison","40"
"1963","U. De los andes","U. Of oregon","41"
"1964","U. Del valle","Iowa state U.","42"
"1964","U. Javeriana","Northwestern U.","43"
"1964","U. Nal. De Col.","U. Of california - los angeles","44"
"1964","U. Nal. De Col.","U. Of california - los angeles","45"
"1964","U. De nariño","U. Of georgia","46"
"1964","U. De caldas","U. Of rochester","47"
"1964","U. Nal. De Col.","Johns hopkins U.","48"
"1964","U. De cartagena","Columbia U. In the city of new york","49"
